,RMSE,MAE,R2,MAPE,CVRMSE
FPT_KNN,8576.707928858385,6726.536511979494,-0.2098484554115987,4.724380381348303,6.170606099700515
NVL_LSTM,563.2336008942322,501.6242964276542,0.7015443933471884,4.820938620253368,5.251802252755023
TCB_LSTM,1231.1102693508785,1139.3899466894893,-0.02976646980532749,4.863696402440928,5.1768680816081245
VNM_SVR_RBF,4284.702950694318,3192.0530651300137,0.16256896896591166,5.039455912481204,6.419504726820498
SSI_CNN,2429.2928753436463,1414.7945819515803,0.37165451355838,5.072237578464083,8.874243370518569
MWG_DecisionTree,3738.550596605626,3132.394366197184,0.2462320885193735,5.072938882991213,5.960324524161303
HPG_KNN,1484.1152004961657,1338.926607041775,-3.163094682018415,5.129362734704733,5.618501118943602
SSI_DecisionTree,1747.9716615487398,1375.0000000000005,0.6746824283469457,5.211035312203601,6.385366740582452
MWG_KNN,3760.707985661525,3235.3765725662274,0.23727085010033322,5.257111358556786,5.99564977280209
NVL_GRU,608.1935332133572,549.3413009496287,0.6519944047674036,5.276046254289225,5.671025597140748
SSI_KNN,2005.632024795679,1520.1931282475655,0.5717067222608302,5.634308036585992,7.326603918527125
NVL_CNN,731.5717402491553,625.3484569137041,0.49648029383847614,5.973061593805348,6.821450473466899
TCB_DecisionTree,1856.336692384476,1484.507042253518,-1.341306855189098,6.187082189853432,7.805970278024092
VIC_SVR_RBF,2839.971943744036,2591.4426245098357,-5.735401724513588,6.317415111161356,6.874159702238165
NVL_Hybrid,792.8097183311986,702.9737096959286,0.4086555015896165,6.833352005469939,7.39245644813678
TCB_Hybrid,1760.5437803691586,1655.2442634070712,-1.1059036503689588,7.087153017734636,7.403157239255545
FPT_SVR_RBF,13852.42250015177,10960.998221322996,-2.156030494431358,7.601777905191271,9.966276511230436
VND_DecisionTree,1495.5332555011478,1147.1830985915497,-0.7632475608301874,8.682899089334109,10.749429149684298
TCB_SVR_RBF,2297.6915297488567,2154.09922375969,-2.5869744661616565,9.245343204003035,9.661885078750856
TCB_CNN,2661.6999037441374,2489.288993886402,-3.813522613621287,10.661098822811585,11.192554897440479
VND_KNN,1755.745354275024,1419.5714240653522,-1.4302122083801523,10.899362600308303,12.619753001976788
TCB_KNN,2939.7404596298943,2739.7478325201246,-4.871685934062425,11.768537179801273,12.3617265914728
NVL_RandomForest,1546.7663640393685,1276.6632733230895,-1.2508785841429875,12.669844355022414,14.422632212017305
NVL_DecisionTree,2122.690625823213,1799.0140845070414,-3.239123160296228,17.737659738814752,19.79276696720684
NVL_KNN,2883.774595741862,2752.512957743262,-6.823935360016675,26.501837874822563,26.889400586736034
NVL_SVR_RBF,3611.267089044084,3490.8279791108534,-11.269358332914017,33.529700496018734,33.6728146251049
